state,fuel_type,year,registrations
Chhatisgarh,PETROL(E20),2024,6098
Chhatisgarh,PETROL(E20)/CNG,2024,3
Chhatisgarh,PETROL(E20)/HYBRID,2024,0
Chhatisgarh,PETROL(E20)/HYBRID/CNG,2024,1
Chhatisgarh,PETROL(E20)/LPG,2024,0
Chhatisgarh,PETROL/CNG,2024,102
Chhatisgarh,PETROL/HYBRID,2024,10014
Chhatisgarh,PETROL/HYBRID/CNG,2024,0
Chhatisgarh,PETROL/LPG,2024,8
Chhatisgarh,PURE EV,2024,15698
Chhatisgarh,STRONG HYBRID EV,2024,616
Chhatisgarh,CNG ONLY,2025,339
Chhatisgarh,DIESEL,2025,93110
Chhatisgarh,DIESEL/HYBRID,2025,159
Chhatisgarh,ELECTRIC(BOV),2025,10838
Chhatisgarh,ETHANOL(E100),2025,25
Chhatisgarh,FUEL CELL HYDROGEN,2025,1
Chhatisgarh,LPG ONLY,2025,10
Chhatisgarh,NOT APPLICABLE,2025,10663
Chhatisgarh,PETROL,2025,437128
Chhatisgarh,PETROL(E20),2025,136940
Chhatisgarh,PETROL(E20)/CNG,2025,76
Chhatisgarh,PETROL(E20)/HYBRID,2025,1214
Chhatisgarh,PETROL(E20)/HYBRID/CNG,2025,0
Chhatisgarh,PETROL(E20)/LPG,2025,4
Chhatisgarh,PETROL/CNG,2025,561
Chhatisgarh,PETROL/HYBRID,2025,9764
Chhatisgarh,PETROL/HYBRID/CNG,2025,1
Chhatisgarh,PETROL/LPG,2025,6
Chhatisgarh,PURE EV,2025,36886
Chhatisgarh,STRONG HYBRID EV,2025,1288
Chhatisgarh,CNG ONLY,2026,154
Chhatisgarh,DIESEL,2026,45586
Chhatisgarh,DIESEL/HYBRID,2026,76
Chhatisgarh,ELECTRIC(BOV),2026,2955
Chhatisgarh,ETHANOL(E100),2026,4
Chhatisgarh,FUEL CELL HYDROGEN,2026,0
Chhatisgarh,LPG ONLY,2026,0
Chhatisgarh,NOT APPLICABLE,2026,5526
Chhatisgarh,PETROL,2026,84648
Chhatisgarh,PETROL(E20),2026,173313
Chhatisgarh,PETROL(E20)/CNG,2026,469
Chhatisgarh,PETROL(E20)/HYBRID,2026,5942
Chhatisgarh,PETROL(E20)/HYBRID/CNG,2026,0
Chhatisgarh,PETROL(E20)/LPG,2026,0
Chhatisgarh,PETROL/CNG,2026,88
Chhatisgarh,PETROL/HYBRID,2026,619
Chhatisgarh,PETROL/HYBRID/CNG,2026,0
Chhatisgarh,PETROL/LPG,2026,0
Chhatisgarh,PURE EV,2026,25441
Chhatisgarh,STRONG HYBRID EV,2026,771
Delhi,CNG ONLY,2022,33693
Delhi,DIESEL,2022,15512
Delhi,DIESEL/HYBRID,2022,18
Delhi,ELECTRIC(BOV),2022,62235
Delhi,ETHANOL(E100),2022,0
Delhi,FLEX-FUEL(ETHANOL),2022,0
Delhi,NOT APPLICABLE,2022,0
Delhi,PETROL,2022,446392
Delhi,PETROL(E20),2022,0
Delhi,PETROL(E20)/CNG,2022,2
Delhi,PETROL(E20)/HYBRID,2022,0
Delhi,PETROL(E20)/HYBRID/CNG,2022,2
Delhi,PETROL/CNG,2022,37035
Delhi,PETROL/HYBRID,2022,12930
Delhi,PETROL/HYBRID/CNG,2022,127
Delhi,PLUG-IN HYBRID EV,2022,0
Delhi,PURE EV,2022,0
Delhi,STRONG HYBRID EV,2022,0
Delhi,CNG ONLY,2023,26810
Delhi,DIESEL,2023,12570
Delhi,DIESEL/HYBRID,2023,40
Delhi,ELECTRIC(BOV),2023,73730
Delhi,ETHANOL(E100),2023,0
Delhi,FLEX-FUEL(ETHANOL),2023,0
Delhi,NOT APPLICABLE,2023,0
Delhi,PETROL,2023,473289
Delhi,PETROL(E20),2023,6333
Delhi,PETROL(E20)/CNG,2023,1
Delhi,PETROL(E20)/HYBRID,2023,0
Delhi,PETROL(E20)/HYBRID/CNG,2023,4
Delhi,PETROL/CNG,2023,41051
Delhi,PETROL/HYBRID,2023,23863
Delhi,PETROL/HYBRID/CNG,2023,116
Delhi,PLUG-IN HYBRID EV,2023,0
Delhi,PURE EV,2023,0
Delhi,STRONG HYBRID EV,2023,0
Delhi,CNG ONLY,2024,24734
Delhi,DIESEL,2024,12275
Delhi,DIESEL/HYBRID,2024,53
Delhi,ELECTRIC(BOV),2024,67935
Delhi,ETHANOL(E100),2024,7
